data_source,source_name,source_archive,source_variable,filename_prefix,location_type,units
al17_NHCOFCL_NCSC_SAB_V1.23,adcirc,renci,water_level,adcirc_al17_RENCI_NHCOFCL_NCSC_SAB_V1.23_FORECAST,tidal,m
al17_NOWCAST_NCSC_SAB_V1.23,adcirc,renci,water_level,adcirc_al17_RENCI_NOWCAST_NCSC_SAB_V1.23_NOWCAST,tidal,m
NAMFORECAST_EC95D,adcirc,renci,water_level,adcirc_nam_RENCI_NAMFORECAST_EC95D_FORECAST,tidal,m
NAMFORECAST_NCSC_SAB_V1.23,adcirc,renci,water_level,adcirc_nam_RENCI_NAMFORECAST_NCSC_SAB_V1.23_FORECAST,tidal,m
NOWCAST_EC95D_NOWCAST,adcirc,renci,water_level,adcirc_nam_RENCI_NOWCAST_EC95D_NOWCAST,tidal,m
NOWCAST_NCSC_SAB_V1.23,adcirc,renci,water_level,adcirc_nam_RENCI_NOWCAST_NCSC_SAB_V1.23,tidal,m
coastal_gauge,ncem,contrails,water_level,contrails_stationdata_coastal_water_level,coastal,m
river_gauge,ncem,contrails,water_level,contrails_stationdata_river_water_level,river,m
river_gauge,ncem,contrails,flow_volume,contrails_stationdata_river_flow_volume,river,m^3ps
ocean_buoy,ndbc,ndbc,wave_height,ndbc_stationdata_wave_height,ocean,m
wind_anemometer,ndbc,ndbc,wind_speed,ndbc_stationdata_wind_speed,ocean,mps
air_barometer,ndbc,ndbc,air_pressure,ndbc_stationdata_air_pressure,ocean,mb
tidal_predictions,noaa,noaa,water_level,noaa_stationdata_predictions,tidal,m
tidal_gauge,noaa,noaa,water_level,noaa_stationdata_water_level,tidal,m
air_barometer,noaa,noaa,air_pressure,noaa_stationdata_air_pressure,tidal,mb
wind_anemometer,noaa,noaa,wind_speed,noaa_stationdata_wind_speed,tidal,mps
